course_code,name,courseries,term,course_major,course_type,course_level,teaching_type,grading_type,credit,hours,hours_per_week,campus,start_week,end_week,teachers,description,description_eng,teaching_material,reference_material,student_requirements,homepage
PDEV 6800N,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,"The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
PDEV 6800O,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,"The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
PDEV 6800P,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,"The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
PDEV 6800Q,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,"The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
PDEV 6800R,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,"The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
PDEV 6800Y,Introduction to Teaching and Learning in Higher Education,PDEV,2024-1,PDEV,PDEV,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,"GUO, Jiao;GUO, Jiao","The course is designed to strengthen studentsâ competence in teaching. It comprises 2 parts: Part 1 aims to equip all full-time research postgraduate (RPg) students with basic teaching skills before assuming teaching assistant duties for the department. Good teaching skills can be acquired through learning and practice.Â  This 10-hour mandatory training course provides all graduate teaching assistants (GTA) with the necessary theoretical knowledge with practical opportunities to apply and build up their knowledge, skills and confidence in taking up their teaching duties. At the end of the course, GTAs should be able to (1) facilitate teaching in tutorials and laboratory settings; (2) provide meaningful feedback to their students; and (3) design an active learning environment to engage their students. In Part 2, students are required to perform instructional delivery assigned by their respective departments to complete this course. MPhil students are required to give at least one 30-minute session of instructional delivery in front of a group of students for one term. PhD students are required to give at least one such session each in two different terms. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/PDEV
BSBE 5200,Principles of Neuroscience and Related Diseases,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"XIA, Jun","This course covers the basic knowledge of nervous system, and the clinical manifestation, anatomy, physiology, pathophysiology, diagnosis, and treatment of common nervous system diseases, with focus on the underlying molecular mechanism of the diseases and treatments.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 5600,Biosignal processing,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LIU, Kefei","This course covers the principles, implementation and applications of signal processing methods in biological research and biomedical engineering. Through a series of case studies and projects, the course will provide opportunities to acquire practical knowledge and skills of data analysis. General concepts of signals and systems, and a brief tutorial of MATLAB will be introduced at the beginning. Then data acquisition, filtering, coding, feature extraction, statistical inference, pattern classification, and modeling will be covered with emphasis on applications in real-world data. This course also includes a topic about neural signal processing.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6000J,Advances and Applications of Bioengineering,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LU, Hongyuan","This course provides a comprehensive exploration of the latest advancements and applications within the field of bioengineering. Designed for students with a solid foundation in biology, chemistry, or engineering, this course aims to deepen understanding and enhance skills across key sub-disciplines including protein engineering, synthetic biology, metabolic engineering, and biomedical engineering.

Throughout the course, students will actively engage with cutting-edge research and case studies that demonstrate the practical implementation of bioengineering solutions across diverse sectors such as medicine, industry, and the environment. Core topics encompass the strategic design and modification of proteins for therapeutic and industrial uses, the construction of synthetic biological systems for novel functions, optimization of metabolic pathways for improved production processes, and the development of innovative biomedical devices and techniques for health care improvements.

This course is designed to ensure that students not only acquire comprehensive theoretical knowledge but also gain practical experience in applying engineering principles to biological systems. Through a blend of lectures, practical sessions, and project work, students will develop the essential knowledge and skills required to tackle complex challenges and lead future innovations in bioengineering.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6000K,Mechanobiology in Health and Disease,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"YASA, Immihan Ceren;YASA, Oncay","Mechanobiology is a field that intersects biology, physics, engineering, and medicine, focusing on how physical forces and changes in cell or tissue mechanics contribute to development, physiology, and disease. Accordingly, this course is designed to provide a comprehensive understanding of the mechanical aspects of biological systems and how they influence cellular and tissue function in both normal and pathological states.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6000L,Structural Biology and Drug Discovery,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"ZHANG, Cheng","The course is structured into two main sections: the first part explores the fundamental principles and the latest advancements in structural biology, which are essential for understanding the molecular basis underlying drug action. The second part presents a thorough overview of the various modalities to drug discovery as practiced in the pharmaceutical industry, demonstrating how knowledge of protein structures can be used to design and optimize drug molecules.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6000M,Exploring Advanced Techniques in Molecular Biology,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"SHEN, Yang","Innovative tools, methods, and approaches continuously reshape various fields, offering fresh perspectives and avenues for exploration. This course is designed to equip students with an understanding of cutting-edge approaches enabling the manipulation and visualization of specific molecular processes within distinct cell types. Participants will learn how to apply these techniques to their own research and refine their capacity to adapt or innovate methodologies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6200A,Independent Study,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,An independent research project carried out under the supervision of a faculty member on a Bioscience and Biomedical Engineering topic.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6200B,Independent Study,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,1,39,3,GZ,1,13,,An independent research project carried out under the supervision of a faculty member on a Bioscience and Biomedical Engineering topic.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6800H,Seminar in Bioscience and Biomedical Engineering,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,0,1,1,GZ,1,13,"SHEN, Yang","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 6990,MPhil Thesis Research,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
BSBE 7990,Doctoral Thesis Research,BSBE,2024-1,BSBE,BSBE,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/BSBE
FTEC 5030,Statistical Methods for Financial Technology,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"CHEN, Weizheng;YU, Holam;ZHANG, Guang","This course will survey modern financial technology, through the lens of statistics, which is the science of the analysis of data. Students will learn how statistical methodology, in conjunction with advances in technology, is used to efficiently acquire, utilize and interpret data, as it relates to innovations in the financial services sector. This course will develop skillsets for Big Data analytics and Predictive modelling, for better understanding of the financial markets.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5040,Financial Technology Research,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"CAI, Ning;LIN, Hao","The objective of this course is to provide students with an extensive exposure to important research in financial technology and a rigorous training in related research methodologies. Main topics include cryptocurrencies, blockchain, P2P lending, crowdfunding, robo-advisors, regulatory technology (RegTech), and insurance technology (InsurTech). This course also enables students to gain an appreciation for how research in financial technologies improves traditional financial services and overcomes various difficulties inherent in the current financial system.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5060,Stochastic Processes,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"SHI, Jiahui;ZUO, Ruiting","The objective of this course is to provide students with fundamentals of stochastic processes. Main topics cover Poisson processes, renewal theory, discrete-time Markov chains, continuous-time Markov chains, and martingales. The emphasis will be on methodologies, fundamental concepts, and mathematical insights.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5100,Research in Corporate Finance,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"WANG, Xiang;ZHANG, Leifu","This course introduces the main issues in corporate finance, identifies principal theoretical tools and empirical approaches, and fosters thinking about current research questions. The theoretical part includes classic theories such as ModiglianiâMiller theorem, Coase theorem, and Fisher separation theorem, with a focus on financing decisions of firms, corporate governance, and their implications. The empirical part reviews econometric methods commonly used in corporate finance research and covers selected topics.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5110,Research in Asset Pricing,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"KWOK, YUE KUEN;WANG, Jiaqi","This course addresses issues in both theoretical development and empirical studies of asset pricing. The theoretical part covers portfolio theory, arbitrage pricing theory with large numbers of assets, the intertemporal asset pricing model and the production-based asset pricing model. Topics related to derivative pricing are also covered. The empirical part covers asset return predictability, volatility-return relationship, asset pricing testing methodology, popular factor models used by practitioners and empirical findings in derivative markets.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5120,Text Mining in Finance and Economics,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"SHI, Yu;ZHANG, Yi","This course provides an introduction to textual analysis in social science research. It covers text mining models and related statistical tools, including Dictionary Method, SVD, Word2Vec, WEAT, Probabilistic Modeling, Regression Modeling, and Large Language Models in modern social science research. Applications related to the financial market are emphasized, including macro-finance, empirical asset pricing, empirical corporate finance, and ESG.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5210,Quantitative Models for Financial Derivatives,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"HAN, Bingyan;JIA, Yusen","This course covers basic pricing theory of financial derivatives and risk hedging of exotic options. The course starts with the fundamental theorem of asset pricing and risk neutral valuation principle. The renowned Black-Scholes pricing theory and martingale pricing theory are introduced. Advanced topics include exchange options, quanto options, implied volatility and VIX.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 5320,Decentralized Finance,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"WANG, Xuechao;YU, Qianyu","This course introduces various novel types of financial instruments enabled by blockchains, collectively known as Decentralized Finance (DeFi). Students will delve into key DeFi elements, gaining both theoretical knowledge and practical skills to effectively navigate and engage with DeFi platforms and protocols.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6101E,FinTech Program Seminar,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,0,1,1,GZ,1,13,"ZHANG, Chao",Advanced seminar series presented by guest speakers and faculty members on selected topics in Financial Technology. This course is offered every regular term. Graded P or F.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6900A,Independent Study,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,"Independent study in a designated subject under direct guidance of a faculty member to provide students the advanced knowledge and research skill sets on a topic of Financial Technology. Required readings, tutorial discussions, and submission of report(s) will be used for assessment. The course may be repeated for credit if different topics are studied. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6900B,Independent Study,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,1,39,3,GZ,1,13,,"Independent study in a designated subject under direct guidance of a faculty member to provide students the advanced knowledge and research skill sets on a topic of Financial Technology. Required readings, tutorial discussions, and submission of report(s) will be used for assessment. The course may be repeated for credit if different topics are studied. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6910E,Game Theory,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LI, Siguang;ZHENG, Mingzhe;LI, Siguang;ZHENG, Mingzhe","This course offers an in-depth analysis of game theory and its advanced applications in fin-tech related fields. First, it covers theoretical foundations, including extensive form game, strategic form game, Nash Equilibrium and its existence, backward induction, games of incomplete information, sub-game perfection, Bayesian Nash equilibrium, sequential equilibrium. Second, it covers mechanism design, including non-linear pricing, dominant strategy mechanism, Bayesian mechanism design, robust mechanism design, and dynamic mechanism design. The course fosters a deep understanding of game theory, equipping students with advanced tools to engage in independent research, and contribute to the development of novel financial technologies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6910F,Machine Learning for Finance,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"XIAN, Chulin;ZHANG, Chao","This course offers an in-depth introduction to the fundamental concepts of artificial intelligence (AI) and its advanced applications in finance. It covers key AI techniques, including linear models, tree-based methods, clustering algorithms, neural networks, and reinforcement learning, with an emphasis on both theoretical and practical implementation. Applications in finance, including risk management, asset pricing, fraud detection, and high-frequency trading, will be critically analyzed through real-world datasets. The course fosters a deep understanding of AI methods, enabling students to engage in independent research, and contribute to the development of novel financial technologies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 6990,MPhil Thesis Research,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
FTEC 7990,Doctoral Thesis Research,FTEC,2024-1,FTEC,FTEC,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/FTEC
UCMP 6010,Cross-disciplinary Research Methods I,UCMP,2024-1,UCMP,UCMP,Graduate,Regular,Letter Grade,2,2,2,GZ,1,13,"CUI, Ying;GAN, Zecheng;LI, Lei;LIU, Hao;TAN, Chee Keong;XU, Kewei;YUE, Liang;ZHANG, Zhuoni;ZHAO, Hang",This course focuses on using various approaches to perform quantitative analysis through real-world examples. Students will learn how to use different tools in an interdisciplinary project and how to acquire new skills on their own. The course offers different modules that are multidisciplinary/multifunctional and generally applicable to a wide class of problems. May be graded PP.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UCMP
UCMP 6030,Cross-disciplinary Design Thinking I,UCMP,2024-1,UCMP,UCMP,Graduate,Regular,Letter Grade,2,2,2,GZ,1,13,"ZHOU, Jin Ni;HU, Wenxun;LU, Xiaojie","This course focuses on user-collaborative design methods for generating inclusive product solutions that integrate stakeholder and product functionality perspectives. Students will create specified product/process/policy/protocol/plan (5P) concept models through the use of recursive user feedback engagement methods, experimental prototyping, and divergent and convergent ideation strategies. Featured topics include design thinking; stakeholder research; concept development, screening, and selection; and interaction design.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UCMP
UCMP 6050,Project-driven Collaborative Design Thinking,UCMP,2024-1,UCMP,UCMP,Graduate,Regular,Letter Grade,2,2,2,GZ,1,13,"CHAN, Man;CHAN, Man;CHAN, Man;CHAN, Man;CHAN, Man;HUANG, Miaojun;HUANG, Miaojun;HUANG, Miaojun;HUANG, Miaojun;HUANG, Miaojun;XUE, Ke;XUE, Ke;XUE, Ke;XUE, Ke;XUE, Ke;WONG, FELICIA YEN MYAN;WONG, FELICIA YEN MYAN;WONG, FELICIA YEN MYAN;WONG, FELICIA YEN MYAN;WONG, FELICIA YEN MYAN;JIANG, Landu;JIANG, Landu;JIANG, Landu;JIANG, Landu;JIANG, Landu;CHEN, Li;CHEN, Li;CHEN, Li;CHEN, Li;CHEN, Li;ZHOU, Jin Ni;ZHOU, Jin Ni;ZHOU, Jin Ni;ZHOU, Jin Ni;ZHOU, Jin Ni;LI, Beijinni;LI, Beijinni;LI, Beijinni;LI, Beijinni;LI, Beijinni;HU, Wenxun;HU, Wenxun;HU, Wenxun;HU, Wenxun;HU, Wenxun;HE, Qinghao;HE, Qinghao;HE, Qinghao;HE, Qinghao;HE, Qinghao;WANG, Lujia;WANG, Lujia;WANG, Lujia;WANG, Lujia;WANG, Lujia;LU, Dong;LU, Dong;LU, Dong;LU, Dong;LU, Dong;WANG, Xiaoyan;WANG, Xiaoyan;WANG, Xiaoyan;WANG, Xiaoyan;WANG, Xiaoyan;WANG, Linxiao;WANG, Linxiao;WANG, Linxiao;WANG, Linxiao;WANG, Linxiao;LI, Lanhui;LI, Lanhui;LI, Lanhui;LI, Lanhui;LI, Lanhui;YANG, Jingwei;YANG, Jingwei;YANG, Jingwei;YANG, Jingwei;YANG, Jingwei;LU, Xiaojie;LU, Xiaojie;LU, Xiaojie;LU, Xiaojie;LU, Xiaojie;WANG, Yue;WANG, Yue;WANG, Yue;WANG, Yue;WANG, Yue;HUANG, Tongge;HUANG, Tongge;HUANG, Tongge;HUANG, Tongge;HUANG, Tongge;WEI, Qianqian;WEI, Qianqian;WEI, Qianqian;WEI, Qianqian;WEI, Qianqian;LI, Mei;LI, Mei;LI, Mei;LI, Mei;LI, Mei;LIN, ARTHUR KAR LEUNG;LIN, ARTHUR KAR LEUNG;LIN, ARTHUR KAR LEUNG;LIN, ARTHUR KAR LEUNG;LIN, ARTHUR KAR LEUNG","This course aims to familiarize students with the principles of design thinking and promote the adoption of a human-centered approach to problem-solving. Students will gain the ability to identify users' pain points, define problems, and develop creative and innovative solutions. By engaging in interdisciplinary collaboration, students will have the opportunity to apply their problem-solving skills to real-world projects. This course is divided into three modules, with each module being taken during one regular term. May be graded PP.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UCMP
SOCH 5000,Technological Innovation and Social Entrepreneurship,SOCH,2024-1,SOCH,SOCH,Graduate,Regular,Letter Grade,2,3,3,GZ,1,13,"LAN, Zhiyong;LI, Jianqi;LIU, Yushuo;WANG, Xuan;YANG, Xinyi;YANG, Yuhong;CHEN, Yanlin;GAO, Qi;LIN, Hao;QI, Shaozhou;YANG, Zhenhuan;LAN, Zhiyong;LI, Jianqi;LIU, Yushuo;WANG, Xuan;YANG, Xinyi;YANG, Yuhong;CHEN, Yanlin;GAO, Qi;LIN, Hao;QI, Shaozhou;YANG, Zhenhuan","This course discusses both opportunities and risks that technological breakthrough has brought to the human society. What would be the policy responses required to maximize its positive benefit and minimize its social costs? In particular, how could we utilize the technological advancement, entrepreneurial thinking to address the challenges our societies are facing, such as job loss/unemployment, income inequality and societal polarization, environmental degradation, health disparity, population aging, and among others. The course uses either case studies or cross-country and time-series data analyses to facilitate the discussion of various social issues and look for innovative solutions of in the real world.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/SOCH
SOCH 6780,"Professional Development in Innovation, Technology, and Social Responsibility",SOCH,2024-1,SOCH,SOCH,Graduate,Regular,Letter Grade,1,1,1,GZ,1,13,"LI, Chenglin;LU, Yangsiyu;LU, Yangsiyu","This one credit course is intended to provide basic professional training to research postgraduate students in the Society Hub. The course will begin with lectures and a workshop on ethics in research. Students will be asked to focus on a particular theme of their choice that links technological innovation to various social and policy issues, conduct analysis and present their findings. They will also need to work in a team and learn to effectively communicate their ideas in informal and formal settings. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/SOCH
IOTA 5001,Social and Web Computing,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"TYSON, Gareth John","This course will introduce students to the fundamentals of Social and Web Computing, as well as providing detailed coverage of recent research in this space. It will consist of two major parts. First, students will learn about fundamental social computing theories, alongside computational methodologies that can be used to understand human interactions online. Second, students will be exposed to a range of recent applied research that has employed these methodologies. There will be an empirical focus in the course, and students will be exposed to a range of measurement research capturing how social and web systems work in-the-wild. Students will learn about social network analysis and relevant APIs, alongside related aspects of the Web, user privacy and online advertisement.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
IOTA 5004,Introduction to Physics-informed Machine Learning,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LAI, Zhilu","Machine learning has emerged as a powerful tool for tackling various problems in engineering and science. Typically via the use of large volume of data, deep neural nets can be trained for this end. However, for engineering and science problems, big data is not enough, and is not always available. This course will introduce the newly emerged paradigm and research trend called âphysics-informed machine learningâ, where physical laws or physical prior knowledge can be enforced into the architecture of machine learning models, to boost the training and promote the trained models to be more physically consistent and generalizable. At the end of the course, students are expected to understand the principles and methods of physics-informed machine learning, and to have hands-on implementations with Python.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
IOTA 5102,Fundamentals of Localization Technologies,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"GONG, Zijun","This course introduces students to the fundamentals and latest research on localization technologies, including GPS, indoor positioning based on ultra-wideband communications, and simultaneous localization and communications in 5G/6G, et al. Apart from electromagnetic waves, localization based on acoustic signals will also be introduced. The course will provide students with the fundamental knowledge required to understand, analyze and develop localization technologies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
IOTA 5106,Introduction to Communication Networks,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"TSANG, Hin Kwok","This course introduces students to different types of communication networks, with a focus on Internet technologies. Topics covered include error control, flow control, medium access control, routing, congestion control, packet scheduling, queueing theory, and network optimization. The course will provide students with the fundamental knowledge required to understand, analyze, and optimize the performance of communication networks. It is suitable for students who do not have an existing background in communication networks.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
IOTA 5502,Convex and Nonconvex Optimization II,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"CUI, Ying","This course covers advanced theory, algorithms, and applications for convex and nonconvex optimization, including: subgradient methods, localization methods, decomposition methods, proximal methods, alternating direction methods of multipliers, conjugate direction methods, successive approximation methods, convex-cardinality problems, low-rank optimization problems, neural networks, semidefinite programming and relaxation, robust optimization, discrete optimization, stochastic optimization, etc.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
IOTA 5504,Approximate Computing - Introduction to Numerical Analysis,IOTA,2024-1,IOTA,IOTA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"HU, Guobiao",This course is an introduction to the algorithms that use numerical approximation (as opposed to symbolic manipulations) for the problems of mathematical analysis. The course will help students develop a basic understanding of numerical algorithms and the skills to implement algorithms to solve mathematical problems on the computer.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/IOTA
